科目コード,tag1,tag2,tag3,tag4
S1407400_S1,IS,XD,,IS選択必修
S1407410_S1,IS,XD,,IS選択必修
S1408230_S1,IS,XD,NC,必修
S1408240_S1,IS,,,
S1407610_S1,IS,XD,NC,必修
S1407620_S1,IS,XD,NC,必修
S1408250_S1,IS,XD,NC,必修
S1405850_S1,IS,XD,NC,必修
S1408260_S1,IS,XD,NC,必修
S1408270_S1,IS,,,IS選択必修
S1400910_S1,IS,XD,NC,必修
S1407460_S1,IS,,,
S1408280_S1,IS,,,
S1408290_S1,IS,,,
S1408300_S1,IS,XD,NC,必修
S1407210_S1,IS,XD,NC,
S1407220_S1,IS,XD,NC,
S1408310_S1,IS,XD,NC,
S1408320_S1,IS,XD,NC,
S1408330_S1,IS,XD,NC,
S1401370_S1,IS,XD,NC,必修
S1401580_S1,IS,XD,NC,
S1403290_S1,IS,,,IS必修
S1408340_S1,IS,,,IS必修
S1408350_S1,IS,XD,,IS選択必修
S1400580_S1,IS,XD,NC,
S1408360_S1,IS,XD,NC,
S1405860_S1,IS,XD,NC,
S1408390_S1,IS,XD,NC,必修
S1408400_S1,IS,,,
S1408410_S1,IS,,,
S1407700_S1,IS,XD,NC,
S1408420_S1,IS,XD,NC,
S1408430_S1,IS,XD,NC,
S1408440_S1,IS,XD,NC,必修
S1401870_S1,NC,,,NC必修
S1408450_S1,NC,,,NC必修
S1408460_S1,NC,,,NC必修
S1408470_S1,NC,,,NC必修
S1405190_S1,NC,,,
S1405150_S1,NC,,,
S1406210_S1,NC,,,
S1405160_S1,NC,,,
S1405740_S1,NC,,,
S1408480_S1,XD,,,
S1408490_S1,XD,,,
S1408500_S1,XD,,,
S1401120_S1,XD,,,
S1408510_S1,XD,,,XD選択必修
S1402320_S1,XD,,,
S1407250_S1,XD,,,XD選択必修
S1407260_S1,XD,,,XD選択必修
S1408520_S1,XD,,,
S1408530_S1,XD,,,
S1406860_S1,XD,,,
S1408540_S1,XD,,,
G1000767_G1,英語必修,,,
G2001013_G1,英語必修,,,
G2001015_G3,英語必修,,,
G1000767_G2,英語必修,,,
G1001085_G1,教養,,,
G2001013_G2,英語必修,,,
G2001013_G4,英語必修,,,
G2001013_G8,英語必修,,,
G2001013_Ga,英語必修,,,
G2001015_G4,英語必修,,,
G3001017_G1,教養,,,
G1000655_G1,教養,,,
G1000767_G3,英語必修,,,
G1000771_G1,英語必修,,,
G1001088_G1,教養,,,
G2001013_G3,英語必修,,,
G2001013_G5,英語必修,,,
G2001013_G9,英語必修,,,
G2001013_Gb,英語必修,,,
G3001015_G1,教養,,,
G1000767_G4,英語必修,,,
G1000771_G2,英語必修,,,
G1000778_G1,教養,,,
G2001013_Gc,英語必修,,,
R1001025_G1,連携,,,
R1001086_G1,連携,,,
G1001049_G4,情報処理必修,,,
G1001049_Gd,情報処理必修,,,
G1001050_G4,情報処理必修,,,
G1001050_Gd,情報処理必修,,,
G1000771_G3,英語必修,,,
G2001019_G1,英語必修,,,
R1001061_G1,連携,,,
G1001016_G1,教養,,,
G1001017_G1,教養,,,
G1001021_G1,教養,,,
G1000064_G1,教養,,,
G1000197_G1,教養,,,
G1000771_G4,英語必修,,,
G1001089_G1,教養,,,
G2006013_G1,教養,,,
G2006021_G1,教養,,,
G2006028_G1,教養,,,
G1001012_G1,教養,,,
G1001018_G1,教養,,,
G1001029_G1,教養,,,
R1001132_G1,連携,,,
G1000728_G1,教養,,,
G2006009_G1,教養,,,
G2006017_G1,教養,,,
G2006029_G1,教養,,,
R1001035_G1,連携,,,
G1001087_G1,教養,,,
G2002001_G3,教養,,,
G2003001_G2,教養,,,
G2005001_G2,教養,,,
G1001054_G1,教養,,,
R1001032_G1,連携,,,
G1001070_G1,教養,,,
R1001033_G1,連携,,,
G1001049_G5,情報処理必修,,,
G1001050_G5,情報処理必修,,,
G1001007_G1,教養,,,
G1001010_G1,教養,,,
G1001023_G1,教養,,,
G1001025_G1,教養,,,
G1001026_G1,教養,,,
G1000244_G1,教養,,,
G2006010_G1,教養,,,
G2006018_G1,教養,,,
G2006030_G1,教養,,,
G1001011_G1,教養,,,
G1001028_G1,教養,,,
G1001030_G1,教養,,,
